keys,en
"Add ResonanceRuntime with valid ResonanceRuntimeConfig to the scene.","Add ResonanceRuntime with valid ResonanceRuntimeConfig to the scene."
"Server init failed.","Server init failed."
"Bake runner not set. Cannot bake.","Bake runner not set. Cannot bake."
"Scene has no ResonanceRuntime. Add ResonanceRuntime for export to make sense.","Scene has no ResonanceRuntime. Add ResonanceRuntime for export to make sense."
"Scene has no ResonanceStaticGeometry or ResonanceStaticScene. Add ResonanceStaticGeometry for export.","Scene has no ResonanceStaticGeometry or ResonanceStaticScene. Add ResonanceStaticGeometry for export."
"No scenes open.","No scenes open."
"No scenes exported.","No scenes exported."
"No scene files found.","No scene files found."
"No dynamic objects exported.","No dynamic objects exported."
"Exported %d mesh(es) but failed to save scene: %s","Exported %d mesh(es) but failed to save scene: %s"
" — Save scene to persist mesh_asset."," — Save scene to persist mesh_asset."
"Static geometry unchanged (hash match). Skipping export.","Static geometry unchanged (hash match). Skipping export."
"Static scene exported to %s. ResonanceStaticScene updated.","Static scene exported to %s. ResonanceStaticScene updated."
"Dynamic mesh exported to %s","Dynamic mesh exported to %s"
"Exported %d dynamic mesh(es).","Exported %d dynamic mesh(es)."
"Exported %d dynamic object(s) from scenes in build.","Exported %d dynamic object(s) from scenes in build."
"Exported %d dynamic object(s) from project.","Exported %d dynamic object(s) from project."
"Cleared %d pathing_probe_volume reference(s). You can now delete the Probe Volume(s).","Cleared %d pathing_probe_volume reference(s). You can now delete the Probe Volume(s)."
"Probe batches cleared.","Probe batches cleared."
"Scene exported to OBJ: %s","Scene exported to OBJ: %s"
"Exported %d open scene(s) to static assets.","Exported %d open scene(s) to static assets."
"Cleared %d unreferenced probe data file(s).","Cleared %d unreferenced probe data file(s)."
"Skipped %d scene(s) without exportable static geometry.","Skipped %d scene(s) without exportable static geometry."
"Restored Probe Volume data from backup.","Restored Probe Volume data from backup."
"No probe data files found in %s","No probe data files found in %s"
"All probe data files are still referenced. Nothing to clear.","All probe data files are still referenced. Nothing to clear."
"Delete %d unreferenced probe data file(s)?\n\n%s","Delete %d unreferenced probe data file(s)?\n\n%s"
"Clear Unreferenced Probe Data","Clear Unreferenced Probe Data"
"Bake reflections, pathing, static source/listener. Skips up-to-date stages. Configure in bake_config.","Bake reflections, pathing, static source/listener. Skips up-to-date stages. Configure in bake_config."
"Export this dynamic mesh to a .tres asset.","Export this dynamic mesh to a .tres asset."
"Estimate probe count and approximate bake time for current settings.","Estimate probe count and approximate bake time for current settings."
"Stop the current bake and close.","Stop the current bake and close."
"Open documentation","Open documentation"
"Configure bake_config for accurate estimates.","Configure bake_config for accurate estimates."
"Size +X","Size +X"
"Size +Y","Size +Y"
"Size +Z","Size +Z"
"Size -X","Size -X"
"Size -Y","Size -Y"
"Size -Z","Size -Z"
"Change Resonance Probe Volume Size","Change Resonance Probe Volume Size"
