keys,en,es
A backup of current Probe Volume data will be created before baking. You can undo the bake to restore the previous data.,A backup of current Probe Volume data will be created before baking. You can undo the bake to restore the previous data.,Se creará una copia de seguridad de los datos actuales del volumen de sondas antes de hornear. Puedes deshacer el horneado para restaurar los datos anteriores.
Preparing...,Preparing...,Preparando...
Processing...,Processing...,Procesando...
Baking reverb probes,Baking reverb probes,Horneando sondas de reverberación
Baking pathing,Baking pathing,Horneando trazado de rutas
Baking static source,Baking static source,Horneando fuente estática
Baking static listener,Baking static listener,Horneando oyente estático
Skipping (up-to-date),Skipping (up-to-date),Omitiendo (actualizado)
Estimated time: %s,Estimated time: %s,Tiempo estimado: %s
Stage %d of %d,Stage %d of %d,Etapa %d de %d
%d probes,%d probes,%d sondas
Details,Details,Detalles
Status,Status,Estado
No scene open.,No scene open.,No hay ninguna escena abierta.
GDExtension not loaded.,GDExtension not loaded.,GDExtension no cargada.
Export failed with error %s,Export failed with error %s,La exportación falló con el error %s
Scene not exported. Use Tools > Nexus Resonance > Export Active Scene before baking.,Scene not exported. Use Tools > Nexus Resonance > Export Active Scene before baking.,Escena no exportada. Usa Herramientas > Nexus Resonance > Exportar escena activa antes de hornear.
Bake runner not initialized.,Bake runner not initialized.,Ejecutor de horneado no inicializado.
ResonanceServer lacks export_static_scene_to_asset. Update the addon.,ResonanceServer lacks export_static_scene_to_asset. Update the addon.,ResonanceServer carece de export_static_scene_to_asset. Actualiza el addon.
ResonanceSOFAAsset not available.,ResonanceSOFAAsset not available.,ResonanceSOFAAsset no disponible.
Bake failed. Check Editor output.,Bake failed. Check Editor output.,El horneado falló. Revisa la salida del editor.
Failed to build config.,Failed to build config.,Error al generar la configuración.
Failed to save: %s,Failed to save: %s,Error al guardar: %s
No main scene configured.,No main scene configured.,No se configuró ninguna escena principal.
Failed to load main scene: %s,Failed to load main scene: %s,Error al cargar la escena principal: %s
Addon and GDExtension may be out of sync.,Addon and GDExtension may be out of sync.,El addon y GDExtension podrían estar desincronizados.
Update the Nexus Resonance addon and GDExtension to matching versions.,Update the Nexus Resonance addon and GDExtension to matching versions.,Actualiza el addon Nexus Resonance y GDExtension a versiones coincidentes.
Set application/run/main_scene in Project Settings.,Set application/run/main_scene in Project Settings.,Configura application/run/main_scene en los Ajustes del Proyecto.
Failed to create audio_data directory (error %d). Ensure res:// is writable.,Failed to create audio_data directory (error %d). Ensure res:// is writable.,Error al crear el directorio audio_data (error %d). Asegúrate de que res:// tenga permisos de escritura.
Failed to create resonance_meshes directory (error %d). Ensure res:// is writable.,Failed to create resonance_meshes directory (error %d). Ensure res:// is writable.,Error al crear el directorio resonance_meshes (error %d). Asegúrate de que res:// tenga permisos de escritura.
No ResonanceDynamicGeometry in scene. Nothing to export.,No ResonanceDynamicGeometry in scene. Nothing to export.,No hay ningún ResonanceDynamicGeometry en la escena. Nada que exportar.
"Select one or more ResonanceProbeVolume nodes, then run this to unlink references before deleting.","Select one or more ResonanceProbeVolume nodes, then run this to unlink references before deleting.","Selecciona uno o más nodos ResonanceProbeVolume, luego ejecuta esto para desvincular las referencias antes de eliminarlos."
No ResonancePlayer in this scene points to the selected Probe Volume(s).,No ResonancePlayer in this scene points to the selected Probe Volume(s).,Ningún ResonancePlayer en esta escena apunta a los volúmenes de sondas seleccionados.
No ResonanceProbeVolume in scene. Nothing to bake.,No ResonanceProbeVolume in scene. Nothing to bake.,No hay ningún ResonanceProbeVolume en la escena. Nada que hornear.
Add ResonanceRuntime with valid ResonanceRuntimeConfig to the scene.,Add ResonanceRuntime with valid ResonanceRuntimeConfig to the scene.,Añade un ResonanceRuntime con una ResonanceRuntimeConfig válida a la escena.
Server init failed.,Server init failed.,La inicialización del servidor falló.
Bake runner not set. Cannot bake.,Bake runner not set. Cannot bake.,Ejecutor de horneado no asignado. No se puede hornear.
Scene has no ResonanceRuntime. Add ResonanceRuntime for export to make sense.,Scene has no ResonanceRuntime. Add ResonanceRuntime for export to make sense.,La escena no tiene un ResonanceRuntime. Añade ResonanceRuntime para que la exportación tenga sentido.
Scene has no ResonanceStaticGeometry or ResonanceStaticScene. Add ResonanceStaticGeometry for export.,Scene has no ResonanceStaticGeometry or ResonanceStaticScene. Add ResonanceStaticGeometry for export.,La escena no tiene un ResonanceStaticGeometry ni un ResonanceStaticScene. Añade ResonanceStaticGeometry para exportar.
No scenes open.,No scenes open.,No hay ninguna escena abierta.
No scenes exported.,No scenes exported.,No se han exportado escenas.
No scene files found.,No scene files found.,No se encontraron archivos de escena.
No dynamic objects exported.,No dynamic objects exported.,No se han exportado objetos dinámicos.
Exported %d mesh(es) but failed to save scene: %s,Exported %d mesh(es) but failed to save scene: %s,Se exportaron %d malla(s) pero falló al guardar la escena: %s
 — Save scene to persist mesh_asset., — Save scene to persist mesh_asset., — Guarda la escena para mantener persistente el recurso mesh_asset.
Static geometry unchanged (hash match). Skipping export.,Static geometry unchanged (hash match). Skipping export.,Geometría estática sin cambios (coincidencia de hash). Omitiendo exportación.
Static scene exported to %s. ResonanceStaticScene updated.,Static scene exported to %s. ResonanceStaticScene updated.,Escena estática exportada a %s. ResonanceStaticScene actualizado.
Dynamic mesh exported to %s,Dynamic mesh exported to %s,Malla dinámica exportada a %s
Exported %d dynamic mesh(es).,Exported %d dynamic mesh(es).,Se exportaron %d malla(s) dinámica(s).
Exported %d dynamic object(s) from scenes in build.,Exported %d dynamic object(s) from scenes in build.,Se exportaron %d objeto(s) dinámico(s) de escenas en compilación.
Exported %d dynamic object(s) from project.,Exported %d dynamic object(s) from project.,Se exportaron %d objeto(s) dinámico(s) del proyecto.
Cleared %d pathing_probe_volume reference(s). You can now delete the Probe Volume(s).,Cleared %d pathing_probe_volume reference(s). You can now delete the Probe Volume(s).,Se limpiaron %d referencia(s) a volúmenes de sondas de ruta. Ahora puedes eliminar los volúmenes.
Probe batches cleared.,Probe batches cleared.,Lotes de sondas limpiados.
Scene exported to OBJ: %s,Scene exported to OBJ: %s,Escena exportada a OBJ: %s
Exported %d open scene(s) to static assets.,Exported %d open scene(s) to static assets.,Se exportaron %d escena(s) abierta(s) a recursos estáticos.
Cleared %d unreferenced probe data file(s).,Cleared %d unreferenced probe data file(s).,Se limpiaron %d archivo(s) de datos de sondas no referenciados.
Skipped %d scene(s) without exportable static geometry.,Skipped %d scene(s) without exportable static geometry.,Se omitieron %d escena(s) sin geometría estática exportable.
Restored Probe Volume data from backup.,Restored Probe Volume data from backup.,Datos del volumen de sondas restaurados desde copia de seguridad.
No probe data files found in %s,No probe data files found in %s,No se encontraron archivos de datos de sondas en %s
All probe data files are still referenced. Nothing to clear.,All probe data files are still referenced. Nothing to clear.,Todos los archivos de datos de sondas siguen referenciados. Nada que limpiar.
Delete %d unreferenced probe data file(s)?\n\n%s,Delete %d unreferenced probe data file(s)?\n\n%s,¿Eliminar %d archivo(s) de datos de sondas no referenciados?\n\n%s
Clear Unreferenced Probe Data,Clear Unreferenced Probe Data,Limpiar datos de sondas no referenciados
"Bake reflections, pathing, static source/listener. Skips up-to-date stages. Configure in bake_config.","Bake reflections, pathing, static source/listener. Skips up-to-date stages. Configure in bake_config.","Hornea reflexiones, trazado de rutas y oyente/fuente estática. Omite etapas actualizadas. Configura en bake_config."
Export this dynamic mesh to a .tres asset.,Export this dynamic mesh to a .tres asset.,Exporta esta malla dinámica a un recurso .tres.
Estimate probe count and approximate bake time for current settings.,Estimate probe count and approximate bake time for current settings.,Estima el conteo de sondas y el tiempo aproximado de horneado para los ajustes actuales.
Stop the current bake and close.,Stop the current bake and close.,Detener el horneado actual y cerrar.
Open documentation,Open documentation,Abrir documentación
Configure bake_config for accurate estimates.,Configure bake_config for accurate estimates.,Configura bake_config para estimaciones precisas.
Size +X,Size +X,Tamaño +X
Size +Y,Size +Y,Tamaño +Y
Size +Z,Size +Z,Tamaño +Z
Size -X,Size -X,Tamaño -X
Size -Y,Size -Y,Tamaño -Y
Size -Z,Size -Z,Tamaño -Z
Change Resonance Probe Volume Size,Change Resonance Probe Volume Size,Cambiar tamaño de volumen de sondas de Resonance
nexus,Nexus,Nexus
resonance,Resonance,Nexus Resonance
Saving probe data...,Saving probe data...,Guardando datos de sondas...
Convert Animation Audio Tracks (ResonancePlayer)…,Convert Animation Audio Tracks (ResonancePlayer)…,Convertir pistas de audio de animación (ResonancePlayer)…
Convert Animation Audio Tracks In All Scenes…,Convert Animation Audio Tracks In All Scenes…,Convertir pistas de audio de animación en todas las escenas…
Editor file system not available.,Editor file system not available.,El sistema de archivos del editor no está disponible.
Could not scan res://.,Could not scan res://.,No se pudo escanear res://.
 - Save scene to persist mesh_asset., - Save scene to persist mesh_asset., - Guarda la escena para mantener persistente el recurso mesh_asset.
Nexus Resonance - Export,Nexus Resonance - Export,Nexus Resonance - Exportar
Export in progress...,Export in progress...,Exportación en progreso...
An export is already running. Wait for it to finish or cancel the progress dialog.,An export is already running. Wait for it to finish or cancel the progress dialog.,Ya se está ejecutando una exportación. Espera a que termine o cancela el cuadro de diálogo de progreso.
Nexus Resonance - Convert All Scenes,Nexus Resonance - Convert All Scenes,Nexus Resonance - Convertir todas las escenas
 Skipped %d audio track(s) with use blend - convert manually (method keys) for full Steam Audio., Skipped %d audio track(s) with use blend - convert manually (method keys) for full Steam Audio., Se omitieron %d pista(s) de audio con use blend; conviértelas manualmente (claves de método) para usar Steam Audio completo.
Probe batch (advanced),Probe batch (advanced),Lote de sondas (avanzado)
Remove probe at index,Remove probe at index,Eliminar sonda en el índice
Remove baked pathing layer,Remove baked pathing layer,Eliminar capa de trazado de rutas horneada
Remove baked reflections (reverb),Remove baked reflections (reverb),Eliminar reflexiones horneadas (reverberación)
Uses Steam Audio iplProbeBatchRemoveProbe. Clears pathing hash; re-bake pathing if needed. Saves external .tres when set; reloads batch on this volume.,Uses Steam Audio iplProbeBatchRemoveProbe. Clears pathing hash; re-bake pathing if needed. Saves external .tres when set; reloads batch on this volume.,Usa iplProbeBatchRemoveProbe de Steam Audio. Limpia el hash del trazado de rutas; vuelve a hornear si es necesario. Guarda un archivo .tres externo si está configurado; recarga el lote en este volumen.
iplProbeBatchRemoveData: pathing (dynamic) layer. Reload probe batch after.,iplProbeBatchRemoveData: pathing (dynamic) layer. Reload probe batch after.,iplProbeBatchRemoveData: capa de trazado de rutas (dinámica). Recarga el lote de sondas después.
iplProbeBatchRemoveData: reflections reverb layer. Re-bake probes if you still need this data.,iplProbeBatchRemoveData: reflections reverb layer. Re-bake probes if you still need this data.,iplProbeBatchRemoveData: capa de reverberación de reflexiones. Vuelve a hornear las sondas si aún necesitas estos datos.
"ResonanceServer not ready. Add ResonanceRuntime with config to this scene, then click Bake Probes or re-open the inspector.","ResonanceServer not ready. Add ResonanceRuntime with config to this scene, then click Bake Probes or re-open the inspector.","ResonanceServer no está listo. Añade un ResonanceRuntime con configuración a esta escena, luego haz clic en Hornear sondas o vuelve a abrir el inspector."
"Probe batch edit failed (wrong index, no matching baked layer, load/save error). See the Output panel for the exact message.","Probe batch edit failed (wrong index, no matching baked layer, load/save error). See the Output panel for the exact message.","Falló la edición del lote de sondas (índice incorrecto, no hay capa horneada coincidente, error de carga/guardado). Revisa el panel de Salida para ver el mensaje exacto."
"ResonanceServer is not initialized. Add a ResonanceRuntime node (with ResonanceRuntimeConfig) to the edited scene, then press Bake Probes once or deselect and reselect this volume so the server can start. Without it, probe batch edits cannot run.","ResonanceServer is not initialized. Add a ResonanceRuntime node (with ResonanceRuntimeConfig) to the edited scene, then press Bake Probes once or deselect and reselect this volume so the server can start. Without it, probe batch edits cannot run.","ResonanceServer no está inicializado. Añade un nodo ResonanceRuntime (con ResonanceRuntimeConfig) a la escena editada, luego presiona Hornear sondas una vez o deselecciona y vuelve a seleccionar este volumen para iniciar el servidor. Sin esto, no se pueden editar los lotes de sondas."
Probes (from data): %d,Probes (from data): %d,Sondas (desde datos): %d
Probes (from data): (initialize server to query),Probes (from data): (initialize server to query),Sondas (desde datos): (inicializa el servidor para consultar)
Categories Enabled,Categories Enabled,Categorías habilitadas
Output To Debug,Output To Debug,Enviar salida a depuración
Output To File,Output To File,Enviar salida a archivo
File Path,File Path,Ruta del archivo
Steam Audio Verbose,Steam Audio Verbose,Steam Audio detallado
Default Output Directory,Default Output Directory,Directorio de salida por defecto
Auto Convert Animation Audio On Save,Auto Convert Animation Audio On Save,Convertir audio de animación automáticamente al guardar
Editor TTS,Editor TTS,TTS del Editor
Runtime Debug TTS,Runtime Debug TTS,TTS de depuración en ejecución
Static Scene Asset Format,Static Scene Asset Format,Formato del recurso de escena estática
Probe Data Format,Probe Data Format,Formato de datos de sondas
Tts Voice,Tts Voice,Voz del TTS
Tts Volume,Tts Volume,Volumen del TTS
Tts Speed,Tts Speed,Velocidad del TTS
Bake Config,Bake Config,Configuración de horneado
Probe Data,Probe Data,Datos de las sondas
Region Size,Region Size,Tamaño de la región
Generation Type,Generation Type,Tipo de generación
Spacing,Spacing,Espaciado
Height Above Floor,Height Above Floor,Altura sobre el suelo
Show Probes,Show Probes,Mostrar sondas
Viz Probe Scale,Viz Probe Scale,Escala de visualización de sondas
Bake Sources,Bake Sources,Fuentes de horneado
Bake Listeners,Bake Listeners,Oyentes de horneado
Bake Influence Radius,Bake Influence Radius,Radio de influencia del horneado
Dynamic,Dynamic,Dinámico
Mesh Asset,Mesh Asset,Recurso de malla
Static Scene Asset,Static Scene Asset,Recurso de escena estática
Export All Children,Export All Children,Exportar todos los hijos
Scene Name When Exported,Scene Name When Exported,Nombre de la escena al exportar
Playback Coeff Smoothing Time,Playback Coeff Smoothing Time,Tiempo de suavizado de coeficientes
Reverb Bus Name,Reverb Bus Name,Nombre del bus de reverberación
Default Reflections Mode,Default Reflections Mode,Modo de reflexiones por defecto
Direct Speaker Channels,Direct Speaker Channels,Canales de altavoz directo
Opencl Device Type,Opencl Device Type,Tipo de dispositivo OpenCL
Opencl Device Index,Opencl Device Index,Índice de dispositivo OpenCL
Convert Animation Audio Tracks (ResonancePlayer)…,Convert Animation Audio Tracks (ResonancePlayer)…,Convertir pistas de audio de animación (ResonancePlayer)…
Convert Animation Audio Tracks In All Scenes…,Convert Animation Audio Tracks In All Scenes…,Convertir pistas de audio de animación en todas las escenas…
Editor file system not available.,Editor file system not available.,El sistema de archivos del editor no está disponible.
Could not scan res://.,Could not scan res://.,No se pudo escanear res://.
Nexus Resonance - Export,Nexus Resonance - Export,Nexus Resonance - Exportar
Export in progress...,Export in progress...,Exportación en progreso...
An export is already running. Wait for it to finish or cancel the progress dialog.,An export is already running. Wait for it to finish or cancel the progress dialog.,Ya se está ejecutando una exportación. Espera a que termine o cancela el cuadro de diálogo de progreso.
Nexus Resonance - Convert All Scenes,Nexus Resonance - Convert All Scenes,Nexus Resonance - Convertir todas las escenas
 Skipped %d audio track(s) with use blend - convert manually (method keys) for full Steam Audio., Skipped %d audio track(s) with use blend - convert manually (method keys) for full Steam Audio., Se omitieron %d pista(s) de audio con use blend; conviértelas manualmente (claves de método) para usar Steam Audio completo.
Probe batch (advanced),Probe batch (advanced),Lote de sondas (avanzado)
Remove probe at index,Remove probe at index,Eliminar sonda en el índice
Remove baked pathing layer,Remove baked pathing layer,Eliminar capa de trazado de rutas horneada
Remove baked reflections (reverb),Remove baked reflections (reverb),Eliminar reflexiones horneadas (reverberación)
Uses Steam Audio iplProbeBatchRemoveProbe. Clears pathing hash; re-bake pathing if needed. Saves external .tres when set; reloads batch on this volume.,Uses Steam Audio iplProbeBatchRemoveProbe. Clears pathing hash; re-bake pathing if needed. Saves external .tres when set; reloads batch on this volume.,Usa iplProbeBatchRemoveProbe de Steam Audio. Limpia el hash del trazado de rutas; vuelve a hornear si es necesario. Guarda un archivo .tres externo si está configurado; recarga el lote en este volumen.
iplProbeBatchRemoveData: pathing (dynamic) layer. Reload probe batch after.,iplProbeBatchRemoveData: pathing (dynamic) layer. Reload probe batch after.,iplProbeBatchRemoveData: capa de trazado de rutas (dinámica). Recarga el lote de sondas después.
iplProbeBatchRemoveData: reflections reverb layer. Re-bake probes if you still need this data.,iplProbeBatchRemoveData: reflections reverb layer. Re-bake probes if you still need this data.,iplProbeBatchRemoveData: capa de reverberación de reflexiones. Vuelve a hornear las sondas si aún necesitas estos datos.
"ResonanceServer not ready. Add ResonanceRuntime with config to this scene, then click Bake Probes or re-open the inspector.","ResonanceServer not ready. Add ResonanceRuntime with config to this scene, then click Bake Probes or re-open the inspector.","ResonanceServer no está listo. Añade un ResonanceRuntime con configuración a esta escena, luego haz clic en Hornear sondas o vuelve a abrir el inspector."
"Probe batch edit failed (wrong index, no matching baked layer, load/save error). See the Output panel for the exact message.","Probe batch edit failed (wrong index, no matching baked layer, load/save error). See the Output panel for the exact message.","Falló la edición del lote de sondas (índice incorrecto, no hay capa horneada coincidente, error de carga/guardado). Revisa el panel de Salida para ver el mensaje exacto."
"ResonanceServer is not initialized. Add a ResonanceRuntime node (with ResonanceRuntimeConfig) to the edited scene, then press Bake Probes once or deselect and reselect this volume so the server can start. Without it, probe batch edits cannot run.","ResonanceServer is not initialized. Add a ResonanceRuntime node (with ResonanceRuntimeConfig) to the edited scene, then press Bake Probes once or deselect and reselect this volume so the server can start. Without it, probe batch edits cannot run.","ResonanceServer no está inicializado. Añade un nodo ResonanceRuntime (con ResonanceRuntimeConfig) a la escena editada, luego presiona Hornear sondas una vez o deselecciona y vuelve a seleccionar este volumen para iniciar el servidor. Sin esto, no se pueden editar los lotes de sondas."
Probes (from data): %d,Probes (from data): %d,Sondas (desde datos): %d
Probes (from data): (initialize server to query),Probes (from data): (initialize server to query),Sondas (desde datos): (inicializa el servidor para consultar)
Categories Enabled,Categories Enabled,Categorías habilitadas
Output To Debug,Output To Debug,Enviar salida a depuración
Output To File,Output To File,Enviar salida a archivo
File Path,File Path,Ruta del archivo
Steam Audio Verbose,Steam Audio Verbose,Steam Audio detallado
Default Output Directory,Default Output Directory,Directorio de salida por defecto
Auto Convert Animation Audio On Save,Auto Convert Animation Audio On Save,Convertir audio de animación automáticamente al guardar
Editor TTS,Editor TTS,TTS del Editor
Runtime Debug TTS,Runtime Debug TTS,TTS de depuración en ejecución
Static Scene Asset Format,Static Scene Asset Format,Formato del recurso de escena estática
Probe Data Format,Probe Data Format,Formato de datos de sondas
Tts Voice,Tts Voice,Voz del TTS
Tts Volume,Tts Volume,Volumen del TTS
Tts Speed,Tts Speed,Velocidad del TTS
Bake Config,Bake Config,Configuración de horneado
Probe Data,Probe Data,Datos de las sondas
Region Size,Region Size,Tamaño de la región
Generation Type,Generation Type,Tipo de generación
Spacing,Spacing,Espaciado
Height Above Floor,Height Above Floor,Altura sobre el suelo
Show Probes,Show Probes,Mostrar sondas
Viz Probe Scale,Viz Probe Scale,Escala de visualización de sondas
Bake Sources,Bake Sources,Fuentes de horneado
Bake Listeners,Bake Listeners,Oyentes de horneado
Bake Influence Radius,Bake Influence Radius,Radio de influencia del horneado
Dynamic,Dynamic,Dinámico
Mesh Asset,Mesh Asset,Recurso de malla
Static Scene Asset,Static Scene Asset,Recurso de escena estática
Export All Children,Export All Children,Exportar todos los hijos
Scene Name When Exported,Scene Name When Exported,Nombre de la escena al exportar
Playback Coeff Smoothing Time,Playback Coeff Smoothing Time,Tiempo de suavizado de coeficientes
Reverb Bus Name,Reverb Bus Name,Nombre del bus de reverberación
Default Reflections Mode,Default Reflections Mode,Modo de reflexiones por defecto
Direct Speaker Channels,Direct Speaker Channels,Canales de altavoz directo
Opencl Device Type,Opencl Device Type,Tipo de dispositivo OpenCL
Opencl Device Index,Opencl Device Index,Índice de dispositivo OpenCL
Nexus,Nexus,Nexus
Logger,Logger,Registro
Editor,Editor,Editor
Bake,Bake,Horneado
Accessibility,Accessibility,Accesibilidad
Export,Export,Exportación
Editor Tts,Editor Tts,TTS del editor
Runtime Debug Tts,Runtime Debug Tts,TTS de depuración en ejecución
Ambisonics,Ambisonics,Ambisónicos
Ambisonic decode,Ambisonic decode,Decodificación ambisónica
Absorption,Absorption,Absorción
Physics,Physics,Física
Transmission,Transmission,Transmisión
Debug,Debug,Depuración
Data,Data,Datos
Bake Targets,Bake Targets,Objetivos de horneado
Volume,Volume,Volumen
Generation,Generation,Generación
FMOD Bridge,FMOD Bridge,Puente FMOD
Coda Bridge,Coda Bridge,Puente Coda
Steam Audio Context,Steam Audio Context,Contexto de Steam Audio
Runtime Debug,Runtime Debug,Depuración en tiempo de ejecución
Output & Routing,Output & Routing,Salida y enrutamiento
Audio Engine,Audio Engine,Motor de audio
Spatialization,Spatialization,Espacialización
Reflections & Reverb,Reflections & Reverb,Reflexiones y reverberación
Baked Reverb & Pathing,Baked Reverb & Pathing,Reverberación horneada y trazado
Occlusion & Transmission,Occlusion & Transmission,Oclusión y transmisión
Performance & Scheduling,Performance & Scheduling,Rendimiento y programación
Scene Backend & Physics,Scene Backend & Physics,Backend de escena y física
Expert,Expert,Experto
Headphone HRTF,Headphone HRTF,HRTF para auriculares
HRTF,HRTF,HRTF
Third-person Perspective,Third-person Perspective,Perspectiva de tercera persona
Distance,Distance,Distancia
Direct Sound,Direct Sound,Sonido directo
Directivity,Directivity,Directividad
Output,Output,Salida
Performance,Performance,Rendimiento
Occlusion,Occlusion,Oclusión
Reflections,Reflections,Reflexiones
Pathing,Pathing,Trazado de rutas
Mix Levels,Mix Levels,Niveles de mezcla
Hybrid Reverb,Hybrid Reverb,Reverberación híbrida
Reflection,Reflection,Reflexión
Additional Bake,Additional Bake,Horneado adicional
Quality,Quality,Calidad
1st Order,1st Order,Primer orden
2nd Order,2nd Order,Segundo orden
3rd Order,3rd Order,Tercer orden
Centroid,Centroid,Centroide
Uniform Floor,Uniform Floor,Suelo uniforme
Off,Off,Apagado
Core,Core,Núcleo
Standard,Standard,Estándar
Full,Full,Completo
NORM_NONE,NORM_NONE,Sin normalización
NORM_RMS,NORM_RMS,Normalización RMS
RMS,RMS,RMS
Text (.tres),Text (.tres),Texto (.tres)
Binary (.res),Binary (.res),Binario (.res)
Ambisonic Order,Ambisonic Order,Orden de ambisónicos
Channel Streams,Channel Streams,Canales de flujo de audio
Rotation Enabled,Rotation Enabled,Rotación habilitada
Use Bed Scene Orientation,Use Bed Scene Orientation,Usar orientación de escena base
Ambisonic Orientation Node,Ambisonic Orientation Node,Nodo de orientación de ambisónicos
Apply Hrtf,Apply Hrtf,Aplicar HRTF
Input Is Sn3d,Input Is Sn3d,Entrada es SN3D
Apply Output Gain,Apply Output Gain,Aplicar ganancia de salida
Gain Db,Gain Db,Ganancia (dB)
Reflection Type,Reflection Type,Tipo de reflexión
Pathing Enabled,Pathing Enabled,Trazado de rutas habilitado
Bake Pathing Vis Range,Bake Pathing Vis Range,Rango de visibilidad para trazado horneado
Bake Pathing Path Range,Bake Pathing Path Range,Rango de ruta para trazado horneado
Bake Pathing Num Samples,Bake Pathing Num Samples,Muestras para trazado horneado
Bake Pathing Radius,Bake Pathing Radius,Radio de trazado horneado
Bake Pathing Threshold,Bake Pathing Threshold,Umbral de trazado horneado
Static Source Enabled,Static Source Enabled,Fuente estática habilitada
Static Listener Enabled,Static Listener Enabled,Oyente estático habilitado
Bake Ambisonics Order,Bake Ambisonics Order,Orden ambisónico de horneado
Bake Num Rays,Bake Num Rays,Número de rayos de horneado
Bake Num Bounces,Bake Num Bounces,Número de rebotes de horneado
Bake Num Threads,Bake Num Threads,Número de hilos de horneado
Event Path,Event Path,Ruta del evento
Auto Play,Auto Play,Reproducción automática
Source Radius,Source Radius,Radio de la fuente
Material,Material,Material
Geometry Override,Geometry Override,Sobrescribir geometría
Show Geometry Override In Viewport,Show Geometry Override In Viewport,Mostrar sobrescritura en vista
Listener Valid,Listener Valid,Oyente válido
Absorption Low,Absorption Low,Absorción baja
Absorption Mid,Absorption Mid,Absorción media
Absorption High,Absorption High,Absorción alta
Scattering,Scattering,Dispersión
Transmission Low,Transmission Low,Transmisión baja
Transmission Mid,Transmission Mid,Transmisión media
Transmission High,Transmission High,Transmisión alta
Player Config,Player Config,Configuración del reproductor
Pathing Probe Volume,Pathing Probe Volume,Volumen de sondas para trazado
Exclude From Debug,Exclude From Debug,Excluir de depuración
Physics Ray Auto Exclude Collision Bodies,Physics Ray Auto Exclude Collision Bodies,Auto-excluir cuerpos de colisión en rayos
Convert Animation Audio Tracks At Runtime,Convert Animation Audio Tracks At Runtime,Convertir pistas de audio en ejecución
Show Directivity Gizmo,Show Directivity Gizmo,Mostrar gizmo de directividad
Volume Db,Volume Db,Volumen (dB)
Norm Type,Norm Type,Tipo de normalización
Fmod Bridge Enabled,Fmod Bridge Enabled,Puente FMOD habilitado
Coda Bridge Enabled,Coda Bridge Enabled,Puente Coda habilitado
Context Simd Level,Context Simd Level,Nivel SIMD del contexto
Context Validation,Context Validation,Validación del contexto
Enable Debug,Enable Debug,Habilitar depuración
Debug Overlay Toggle Key,Debug Overlay Toggle Key,Tecla de depuración
Performance Overlay Toggle Key,Performance Overlay Toggle Key,Tecla de rendimiento
Player Overlay Toggle Key,Player Overlay Toggle Key,Tecla de reproductores
Performance Custom Monitors,Performance Custom Monitors,Monitores de rendimiento
Debug Occlusion,Debug Occlusion,Depurar oclusión
Debug Reflections,Debug Reflections,Depurar reflexiones
Debug Pathing,Debug Pathing,Depurar trazado de rutas
Output Direct,Output Direct,Salida directa
Output Reverb,Output Reverb,Salida de reverberación
Reverb Bus Click Guard Enabled,Reverb Bus Click Guard Enabled,Protección contra clics en reverb
Reverb Bus Wet Ring Underrun Zero Fill,Reverb Bus Wet Ring Underrun Zero Fill,Llenar con ceros en subdesbordamiento de reverb
Export Hash,Export Hash,Hash de exportación
Sample Rate Override,Sample Rate Override,Sobrescribir frecuencia de muestreo
Audio Frame Size,Audio Frame Size,Tamaño del cuadro de audio
